path,video type,file name,encoder,plays,enc_t0,enc_t1,play_t0,play_t1,duration,bitrate,resolution,fps,tbr,tbn,tbc,size0,size_enc
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-22b3.mkv,libx264,1,2020-09-15 15:35:42.729757,2020-09-15 15:35:50.261726,2020-09-15 15:35:55.266920,2020-09-15 15:36:19.589564,00:00:20.00,466570,1440x1080,25,25,1000k,1000k,1139090K,28991K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-22b3.mkv,hevc,1,2020-09-15 15:36:24.807118,2020-09-15 15:36:42.496151,2020-09-15 15:36:47.501325,2020-09-15 15:37:11.606580,00:00:20.00,466570,1440x1080,25,25,1000k,1000k,1139090K,26849K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-22b3.mkv,vp8,1,2020-09-15 15:37:16.778240,2020-09-15 15:37:32.636481,2020-09-15 15:37:37.641621,2020-09-15 15:38:01.610445,00:00:20.00,466570,1440x1080,25,25,1000k,1000k,1139090K,2137K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-22b3.mkv,vp9,1,2020-09-15 15:38:06.769599,2020-09-15 15:40:04.152007,2020-09-15 15:40:09.153579,2020-09-15 15:40:33.221250,00:00:20.00,466570,1440x1080,25,25,1000k,1000k,1139090K,43986K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-3c7c.mkv,libx264,1,2020-09-15 15:40:38.393690,2020-09-15 15:40:48.265904,2020-09-15 15:40:53.271080,2020-09-15 15:41:17.565916,00:00:19.96,622090,1920x1080,25,25,1000k,1000k,1515740K,20871K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-3c7c.mkv,hevc,1,2020-09-15 15:41:22.785602,2020-09-15 15:41:37.566825,2020-09-15 15:41:42.569595,2020-09-15 15:42:06.615147,00:00:19.96,622090,1920x1080,25,25,1000k,1000k,1515740K,21188K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-3c7c.mkv,vp8,1,2020-09-15 15:42:11.769593,2020-09-15 15:42:32.767401,2020-09-15 15:42:37.772549,2020-09-15 15:43:01.783842,00:00:19.96,622090,1920x1080,25,25,1000k,1000k,1515740K,814K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-3c7c.mkv,vp9,1,2020-09-15 15:43:06.929617,2020-09-15 15:45:09.728667,2020-09-15 15:45:14.733818,2020-09-15 15:45:38.719784,00:00:19.96,622090,1920x1080,25,25,1000k,1000k,1515740K,30865K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-7816.mkv,libx264,1,2020-09-15 15:45:43.931137,2020-09-15 15:45:54.197546,2020-09-15 15:45:59.202715,2020-09-15 15:46:25.798012,00:00:19.96,622090,1920x1080,25,25,1000k,1000k,1515740K,12818K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-7816.mkv,hevc,1,2020-09-15 15:46:31.004442,2020-09-15 15:46:44.280914,2020-09-15 15:46:49.286092,2020-09-15 15:47:13.260003,00:00:19.96,622090,1920x1080,25,25,1000k,1000k,1515740K,13197K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-7816.mkv,vp8,1,2020-09-15 15:47:18.427511,2020-09-15 15:47:34.685951,2020-09-15 15:47:39.691093,2020-09-15 15:48:03.640081,00:00:19.96,622090,1920x1080,25,25,1000k,1000k,1515740K,1363K
