path,video type,file name,encoder,plays,enc_t0,enc_t1,play_t0,play_t1,duration,bitrate,resolution,fps,tbr,tbn,tbc,size0,size_enc
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-1da7.mkv,vp8,1,2020-09-19 01:40:35.861609,2020-09-19 01:40:38.329829,2020-09-19 01:40:43.333599,2020-09-19 01:41:05.607406,00:00:18.42,50196,928x480,9.39,9.39,1000k,1000k,112892K,527K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-1da7.mkv,vp9,1,2020-09-19 01:41:10.781826,2020-09-19 01:41:44.504663,2020-09-19 01:41:49.509838,2020-09-19 01:42:11.771755,00:00:18.42,50196,928x480,9.39,9.39,1000k,1000k,112892K,5857K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-4b80.mkv,libx264,1,2020-09-19 01:42:16.936466,2020-09-19 01:42:18.796880,2020-09-19 01:42:23.802063,2020-09-19 01:42:48.008828,00:00:19.97,110604,640x480,30,30,1000k,1000k,269582K,1855K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-4b80.mkv,hevc,1,2020-09-19 01:42:53.146578,2020-09-19 01:42:59.745324,2020-09-19 01:43:04.750509,2020-09-19 01:43:28.804398,00:00:19.97,110604,640x480,30,30,1000k,1000k,269582K,2579K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-4b80.mkv,vp8,1,2020-09-19 01:43:33.965619,2020-09-19 01:43:39.150239,2020-09-19 01:43:44.153601,2020-09-19 01:44:08.086987,00:00:19.97,110604,640x480,30,30,1000k,1000k,269582K,508K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-4b80.mkv,vp9,1,2020-09-19 01:44:13.246269,2020-09-19 01:44:25.408861,2020-09-19 01:44:30.413601,2020-09-19 01:44:54.344883,00:00:19.97,110604,640x480,30,30,1000k,1000k,269582K,2928K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-4b86.mkv,libx264,1,2020-09-19 01:44:59.497615,2020-09-19 01:45:01.236657,2020-09-19 01:45:06.241610,2020-09-19 01:45:30.678649,00:00:19.99,124304,720x480,29.97,29.97,1000k,1000k,303275K,513K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-4b86.mkv,hevc,1,2020-09-19 01:45:35.810238,2020-09-19 01:45:41.155155,2020-09-19 01:45:46.160342,2020-09-19 01:46:10.243248,00:00:19.99,124304,720x480,29.97,29.97,1000k,1000k,303275K,567K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-4b86.mkv,vp8,1,2020-09-19 01:46:15.406100,2020-09-19 01:46:19.348214,2020-09-19 01:46:24.348846,2020-09-19 01:46:48.319315,00:00:19.99,124304,720x480,29.97,29.97,1000k,1000k,303275K,422K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-4b86.mkv,vp9,1,2020-09-19 01:46:53.481611,2020-09-19 01:47:05.023151,2020-09-19 01:47:10.025597,2020-09-19 01:47:33.998690,00:00:19.99,124304,720x480,29.97,29.97,1000k,1000k,303275K,966K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-70d4.mkv,libx264,1,2020-09-19 01:47:39.153310,2020-09-19 01:47:40.895262,2020-09-19 01:47:45.900452,2020-09-19 01:48:10.294415,00:00:20.00,124428,720x480,30,30,1000k,1000k,303782K,661K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-70d4.mkv,hevc,1,2020-09-19 01:48:15.426030,2020-09-19 01:48:21.978687,2020-09-19 01:48:26.983865,2020-09-19 01:48:51.088760,00:00:20.00,124428,720x480,30,30,1000k,1000k,303782K,822K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-70d4.mkv,vp8,1,2020-09-19 01:48:56.233601,2020-09-19 01:49:00.277637,2020-09-19 01:49:05.281586,2020-09-19 01:49:29.320359,00:00:20.00,124428,720x480,30,30,1000k,1000k,303782K,508K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-70d4.mkv,vp9,1,2020-09-19 01:49:34.477928,2020-09-19 01:49:46.217187,2020-09-19 01:49:51.222390,2020-09-19 01:50:15.209039,00:00:20.00,124428,720x480,30,30,1000k,1000k,303782K,1551K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-66c0.mkv,libx264,1,2020-09-19 01:50:20.354627,2020-09-19 01:50:22.212463,2020-09-19 01:50:27.217631,2020-09-19 01:50:51.673142,00:00:20.03,124034,720x480,29.91,29.91,1000k,1000k,303275K,1988K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-66c0.mkv,hevc,1,2020-09-19 01:50:56.806879,2020-09-19 01:51:06.610012,2020-09-19 01:51:11.615190,2020-09-19 01:51:35.730214,00:00:20.03,124034,720x480,29.91,29.91,1000k,1000k,303275K,1976K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-66c0.mkv,vp8,1,2020-09-19 01:51:40.888101,2020-09-19 01:51:45.699950,2020-09-19 01:51:50.705107,2020-09-19 01:52:14.740233,00:00:20.03,124034,720x480,29.91,29.91,1000k,1000k,303275K,690K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-66c0.mkv,vp9,1,2020-09-19 01:52:19.903317,2020-09-19 01:52:55.045562,2020-09-19 01:53:00.049607,2020-09-19 01:53:24.078432,00:00:20.03,124034,720x480,29.91,29.91,1000k,1000k,303275K,4157K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-3fdf.mkv,libx264,1,2020-09-19 01:53:29.231397,2020-09-19 01:53:32.575163,2020-09-19 01:53:37.580319,2020-09-19 01:54:02.026088,00:00:19.96,92170,640x480,25,25,1000k,1000k,224577K,14266K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-3fdf.mkv,hevc,1,2020-09-19 01:54:07.158697,2020-09-19 01:54:28.202454,2020-09-19 01:54:33.207620,2020-09-19 01:54:57.243179,00:00:19.96,92170,640x480,25,25,1000k,1000k,224577K,14914K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-3fdf.mkv,vp8,1,2020-09-19 01:55:02.397613,2020-09-19 01:55:06.718546,2020-09-19 01:55:11.721616,2020-09-19 01:55:35.638994,00:00:19.96,92170,640x480,25,25,1000k,1000k,224577K,791K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-3fdf.mkv,vp9,1,2020-09-19 01:55:40.793619,2020-09-19 01:58:10.850012,2020-09-19 01:58:15.853604,2020-09-19 01:58:39.797376,00:00:19.96,92170,640x480,25,25,1000k,1000k,224577K,26275K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-35ee.mkv,libx264,1,2020-09-19 01:58:44.976120,2020-09-19 01:58:46.958755,2020-09-19 01:58:51.963938,2020-09-19 01:59:16.335884,00:00:20.00,124428,720x480,30,30,1000k,1000k,303782K,416K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-35ee.mkv,hevc,1,2020-09-19 01:59:21.504761,2020-09-19 01:59:26.848173,2020-09-19 01:59:31.853363,2020-09-19 01:59:55.848101,00:00:20.00,124428,720x480,30,30,1000k,1000k,303782K,686K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-35ee.mkv,vp8,1,2020-09-19 02:00:01.006682,2020-09-19 02:00:04.379575,2020-09-19 02:00:09.384731,2020-09-19 02:00:33.440637,00:00:20.00,124428,720x480,30,30,1000k,1000k,303782K,355K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-35ee.mkv,vp9,1,2020-09-19 02:00:38.611979,2020-09-19 02:00:45.998978,2020-09-19 02:00:51.001603,2020-09-19 02:01:14.953626,00:00:20.00,124428,720x480,30,30,1000k,1000k,303782K,906K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-3e06.mkv,libx264,1,2020-09-19 02:01:20.113280,2020-09-19 02:01:21.576589,2020-09-19 02:01:26.581763,2020-09-19 02:01:50.859725,00:00:20.02,110494,640x480,29.97,29.97,1000k,1000k,270032K,128K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-3e06.mkv,hevc,1,2020-09-19 02:01:56.030444,2020-09-19 02:01:59.325907,2020-09-19 02:02:04.331086,2020-09-19 02:02:28.407800,00:00:20.02,110494,640x480,29.97,29.97,1000k,1000k,270032K,138K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-3e06.mkv,vp8,1,2020-09-19 02:02:33.563102,2020-09-19 02:02:36.039429,2020-09-19 02:02:41.044578,2020-09-19 02:03:05.057320,00:00:20.02,110494,640x480,29.97,29.97,1000k,1000k,270032K,216K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-3e06.mkv,vp9,1,2020-09-19 02:03:10.214786,2020-09-19 02:03:14.217017,2020-09-19 02:03:19.222169,2020-09-19 02:03:43.225059,00:00:20.02,110494,640x480,29.97,29.97,1000k,1000k,270032K,170K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-08a5.mkv,libx264,1,2020-09-19 02:03:48.381714,2020-09-19 02:03:50.975750,2020-09-19 02:03:55.980912,2020-09-19 02:04:20.133380,00:00:20.00,92170,640x480,25,25,1000k,1000k,225027K,7130K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-08a5.mkv,hevc,1,2020-09-19 02:04:25.296554,2020-09-19 02:04:41.713815,2020-09-19 02:04:46.719003,2020-09-19 02:05:10.840776,00:00:20.00,92170,640x480,25,25,1000k,1000k,225027K,7571K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-08a5.mkv,vp8,1,2020-09-19 02:05:16.013608,2020-09-19 02:05:20.423347,2020-09-19 02:05:25.425603,2020-09-19 02:05:49.389002,00:00:20.00,92170,640x480,25,25,1000k,1000k,225027K,708K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-08a5.mkv,vp9,1,2020-09-19 02:05:54.554026,2020-09-19 02:07:15.426544,2020-09-19 02:07:20.431725,2020-09-19 02:07:44.443764,00:00:20.00,92170,640x480,25,25,1000k,1000k,225027K,13333K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-7a31.mkv,libx264,1,2020-09-19 02:07:49.601606,2020-09-19 02:07:50.527477,2020-09-19 02:07:55.529595,2020-09-19 02:08:19.056069,00:00:19.75,29494,640x480,8,8,1000k,1000k,71109K,2698K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-7a31.mkv,hevc,1,2020-09-19 02:08:24.231721,2020-09-19 02:08:28.600901,2020-09-19 02:08:33.606075,2020-09-19 02:08:57.074589,00:00:19.75,29494,640x480,8,8,1000k,1000k,71109K,3651K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-7a31.mkv,vp8,1,2020-09-19 02:09:02.228158,2020-09-19 02:09:05.769848,2020-09-19 02:09:10.775007,2020-09-19 02:09:34.300923,00:00:19.75,29494,640x480,8,8,1000k,1000k,71109K,542K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-7a31.mkv,vp9,1,2020-09-19 02:09:39.471985,2020-09-19 02:09:59.423321,2020-09-19 02:10:04.428479,2020-09-19 02:10:27.955071,00:00:19.75,29494,640x480,8,8,1000k,1000k,71109K,4169K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-046c.mkv,libx264,1,2020-09-19 02:10:33.117604,2020-09-19 02:10:35.172505,2020-09-19 02:10:40.177599,2020-09-19 02:11:04.629406,00:00:20.02,110494,640x480,29.97,29.97,1000k,1000k,270032K,2962K
